state_name;affiliation_state;affiliation_country_x;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;affiliation_country_y;total_paper_num;affiliation_country;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
california;ca;unitedstates;universityofcalifornia,berkeley;0;2020-12-20;unitedstatesofamerica;409736.05205120693;2020;12;unitedstates;96;unitedstates;3687;7.4284599285293345;285.2992891300797;38.01030927835052;110.24601944565319
virginia;va;unitedstates;virginiapolytechnicinstituteandstateuniversity;18;2020-12-17;unitedstatesofamerica;103724.92225889304;2020;12;unitedstates;19;unitedstates;943;1.6450918161572001;81.64850434927577;47.15;43.48119872181099
newsouthwales;nsw;australia;schoolofcomputerscience;7;2020-12-16;australia;801934.7316220269;2020;12;australia;10;australia;312;0.7355762463747271;22.949978886891483;28.363636363636363;17.349730498967524
newjersey;nj;unitedstates;schoolofengineeringandappliedscience;23;2020-12-15;unitedstatesofamerica;19667.40324367006;2020;12;unitedstates;17;unitedstates;814;1.7194697744834848;82.33225861350334;45.22222222222222;43.09131687006968
california;ca;unitedstates;universityofcalifornia,berkeley;6;2020-12-14;unitedstatesofamerica;409736.05205120693;2020;12;unitedstates;96;unitedstates;3687;7.4284599285293345;285.2992891300797;38.01030927835052;110.24601944565319
massachusetts;ma;unitedstates;mitschoolofengineering;35;2020-12-11;unitedstatesofamerica;21161.529388635758;2020;12;unitedstates;31;unitedstates;1061;3.1124537319029253;106.5262390177098;33.15625;47.59831424987092
newsouthwales;nsw;australia;universityoftechnologysydney;5;2020-12-10;australia;801934.7316220269;2020;12;australia;10;australia;312;0.7355762463747271;22.949978886891483;28.363636363636363;17.349730498967524
texas;tx;unitedstates;universityofhouston;3;2020-12-10;unitedstatesofamerica;685338.8687343894;2020;12;unitedstates;32;unitedstates;1193;2.3813651946957135;88.78027116474956;36.15151515151515;42.43771717032015
georgia;ga;unitedstates;kennesawstateuniversity;2;2020-12-10;unitedstatesofamerica;152164.11432143187;2020;12;unitedstates;21;unitedstates;672;1.7598667680220477;56.315736576705525;30.545454545454547;29.54035263006071
michigan;mi;unitedstates;magnadonnelly;15;2020-12-08;unitedstatesofamerica;250043.56921919566;2020;12;unitedstates;9;unitedstates;202;0.7240899812564177;16.251797357088485;20.2;12.391962446114968
uttarpradesh;up;india;teerthankermahaveeruniversity,moradabad;35;2020-12-04;india;240261.48376257546;2020;12;india;7;india;299;0.5649951315843461;24.133363477674212;37.375;20.69111953641952
california;ca;unitedstates;uscviterbischoolofengineering;13;2020-12-02;unitedstatesofamerica;409736.05205120693;2020;12;unitedstates;96;unitedstates;3687;7.4284599285293345;285.2992891300797;38.01030927835052;110.24601944565319
southcarolina;sc;unitedstates;universityofsouthcarolina;3;2020-12-01;unitedstatesofamerica;80163.53298778078;2020;12;unitedstates;4;unitedstates;44;0.35423821561388147;3.896620371752696;8.8;4.3502861957888594
texas;tx;unitedstates;cockrellschoolofengineering;4;2020-12-01;unitedstatesofamerica;685338.8687343894;2020;12;unitedstates;32;unitedstates;1193;2.3813651946957135;88.78027116474956;36.15151515151515;42.43771717032015
california;ca;unitedstates;baskinschoolofengineering;2;2020-12-01;unitedstatesofamerica;409736.05205120693;2020;12;unitedstates;96;unitedstates;3687;7.4284599285293345;285.2992891300797;38.01030927835052;110.24601944565319
pennsylvania;pa;unitedstates;drexeluniversitycollegeofengineering;1;2020-12-01;unitedstatesofamerica;119356.63855666919;2020;12;unitedstates;27;unitedstates;704;2.3096901638171246;60.22303241952799;25.142857142857142;29.22519324206742
pernambuco;pe;brazil;universidadefederaldepernambuco;0;2020-12-01;brazil;97630.0639357953;2020;12;brazil;4;brazil;5;0.34816059360618384;0.4352007420077298;1.0;0.5944537785379712
