state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
karnataka;ka;india;dayanandasagarcollegeofengineering;2;2022-12-20;india;191841.35560540104
michigan;mi;unitedstates;universityofmichiganmedicalschool;14;2022-12-20;unitedstatesofamerica;250043.56921919566
rhodeisland;ri;unitedstates;thefmglobalgroup;12;2022-12-15;unitedstatesofamerica;2832.3850914376494
texas;tx;unitedstates;cullencollegeofengineering;14;2022-12-15;unitedstatesofamerica;685338.8687343894
texas;tx;unitedstates;collegeofengineering;7;2022-12-09;unitedstatesofamerica;685338.8687343894
ontario;on;canada;instituteofhealthpolicy,managementandevaluation;11;2022-12-09;canada;1077587.553876187
tamilnadu;tn;india;bharathinstituteofhighereducationandresearch;0;2022-12-07;india;130683.69031632628
indiana;in;unitedstates;universityofnotredame;5;2022-12-06;unitedstatesofamerica;94332.34490782692
ontario;on;canada;universityofottawa;3;2022-12-05;canada;1077587.553876187
tennessee;tn;unitedstates;oakridgenationallaboratory;0;2022-12-02;unitedstatesofamerica;109298.32311644025
ontario;on;canada;schulichschoolofbusiness;22;2022-12-01;canada;1077587.553876187
connecticut;ct;unitedstates;yaleschooloftheenvironment;14;2022-12-01;unitedstatesofamerica;12704.52326463746
parana;pr;brazil;universidadeestadualdemaringa;10;2022-12-01;brazil;198666.17842736215
texas;tx;unitedstates;cockrellschoolofengineering;4;2022-12-01;unitedstatesofamerica;685338.8687343894
alberta;ab;canada;universityofalberta;2;2022-12-01;canada;663739.1300613766
georgia;ga;unitedstates;collegeofengineering;15;2022-12-01;unitedstatesofamerica;152164.11432143187
tamilnadu;tn;india;tamilnaduagriculturaluniversity;12;2022-12-01;india;130683.69031632628
districtofcolumbia;dc;unitedstates;johnshopkinsuniversityschoolofadvancedinternationalstudies;4;2022-12-01;unitedstatesofamerica;162.23529163041653
newjersey;nj;unitedstates;nokiabelllabs;4;2022-12-01;unitedstatesofamerica;19667.40324367006
ohio;oh;unitedstates;collegeofengineeringandcomputerscienceatwrightstateuniversity;10;2022-12-01;unitedstatesofamerica;116043.6526534473
westbengal;wb;india;raiganjuniversity;7;2022-12-01;india;86363.04812620154
tennessee;tn;unitedstates;oakridgenationallaboratory;6;2022-12-01;unitedstatesofamerica;109298.32311644025
tennessee;tn;unitedstates;middletennesseestateuniversity;2;2022-12-01;unitedstatesofamerica;109298.32311644025
indiana;in;unitedstates;butleruniversity;5;2022-12-01;unitedstatesofamerica;94332.34490782692
brussels-capitalregion;bru;belgium;hopitalerasme;3;2022-12-01;;
newfoundlandandlabrador;nl;canada;c-coreresearchinstitute;19;2022-12-01;canada;403323.6392799639
jharkhand;jh;india;birlainstituteoftechnology,mesra;19;2022-12-01;india;77947.98877239911
