state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
tamilnadu;tn;india;saveethaschoolofengineering;0;2024-12-31;india;130683.69031632628
colorado;co;unitedstates;nationalcenterforatmosphericresearch;0;2024-12-30;unitedstatesofamerica;269201.86023144564
ohio;oh;unitedstates;theuniversityoftoledo;3;2024-12-30;unitedstatesofamerica;116043.6526534473
indiana;in;unitedstates;indianauniversity-purdueuniversityindianapolis;0;2024-12-26;unitedstatesofamerica;94332.34490782692
queensland;qld;australia;theuniversityofqueensland;0;2024-12-26;australia;1730135.5915559076
queensland;qld;australia;theuniversityofqueensland;0;2024-12-25;australia;1730135.5915559076
california;ca;unitedstates;universityofcalifornia,losangeles;0;2024-12-24;unitedstatesofamerica;409736.05205120693
texas;tx;unitedstates;cockrellschoolofengineering;1;2024-12-23;unitedstatesofamerica;685338.8687343894
newsouthwales;nsw;australia;universityoftechnologysydney;3;2024-12-21;australia;801934.7316220269
haryana;hr;india;o.p.jindalglobaluniversity;0;2024-12-20;india;43945.43485960555
gujarat;gj;india;marwadiuniversity;0;2024-12-20;india;184427.98178390934
california;ca;unitedstates;kaiserpermanentebernardj.tysonschoolofmedicine;1;2024-12-15;unitedstatesofamerica;409736.05205120693
pennsylvania;pa;unitedstates;sidneykimmelmedicalcollege;0;2024-12-15;unitedstatesofamerica;119356.63855666919
saopaulo;sp;brazil;universidadepaulista;2;2024-12-15;brazil;248638.14516769807
britishcolumbia;bc;canada;st.paul'shospital,vancouver;0;2024-12-14;canada;945598.3248456959
california;ca;unitedstates;californiainstituteoftechnology;0;2024-12-13;unitedstatesofamerica;409736.05205120693
newsouthwales;nsw;australia;schoolofmedicineandpublichealth;3;2024-12-12;australia;801934.7316220269
maharashtra;mh;india;"symbiosisschoolofbanking&amp;finance";0;2024-12-10;india;306563.1909541172
tamilnadu;tn;india;periyaruniversity;0;2024-12-10;india;130683.69031632628
tamilnadu;tn;india;noorulislamuniversity;0;2024-12-09;india;130683.69031632628
illinois;il;unitedstates;theuniversityofchicago;1;2024-12-09;unitedstatesofamerica;150153.0283211724
california;ca;unitedstates;departmentofenvironmentalscience,policy,andmanagement;5;2024-12-06;unitedstatesofamerica;409736.05205120693
pennsylvania;pa;unitedstates;templeuniversity;0;2024-12-06;unitedstatesofamerica;119356.63855666919
california;ca;unitedstates;universityofcalifornia,berkeley;0;2024-12-05;unitedstatesofamerica;409736.05205120693
texas;tx;unitedstates;jointbasesanantonio;0;2024-12-04;unitedstatesofamerica;685338.8687343894
andhrapradesh;ap;india;velagapudiramakrishnasiddharthaengineeringcollege;0;2024-12-01;india;160581.4926456832
morelos;mor;mexico;centronacionaldeinvestigacionydesarrollotecnologico,mexico;0;2024-12-01;mexico;5079.890315081764
utah;ut;unitedstates;brighamyounguniversity;0;2024-12-01;unitedstatesofamerica;219762.28584148962
texas;tx;unitedstates;theuniversityoftexasriograndevalley;0;2024-12-01;unitedstatesofamerica;685338.8687343894
assam;as;india;centralinstituteoftechnologykokrajhar;0;2024-12-01;india;79529.61869578768
tarapaca;ta;chile;universidaddetarapaca;0;2024-12-01;chile;41296.336802273465
texas;tx;unitedstates;collegeofengineering;0;2024-12-01;unitedstatesofamerica;685338.8687343894
newyork;ny;unitedstates;cornelluniversitycollegeofengineering;0;2024-12-01;unitedstatesofamerica;136932.6539458316
virginia;va;unitedstates;unitedstatesgeologicalsurvey;0;2024-12-01;unitedstatesofamerica;103724.92225889304
newsouthwales;nsw;australia;facultyofscience;0;2024-12-01;australia;801934.7316220269
